   2030.00000000000      (-573.270083872330,76.8067258372148)  #from ordalc
   1907.00000000000      (-388.079900000000,78.8040000000000)
   1771.00000000000      (-331.757100000000,64.7820000000000)
   1653.00000000000      (-289.881900000000,54.3780000000000)
   1550.00000000000      (-253.926400000000,46.0800000000000)
   1500.00000000000      (-235.255600000000,42.5040000000000)
   1459.00000000000      (-220.241100000000,39.6340000000000)
   1378.00000000000      (-194.412400000000,35.2800000000000)
   1305.00000000000      (-172.727100000000,32.4720000000000)
   1240.00000000000      (-154.785900000000,30.2500000000000)
   1200.00000000000      (-142.535900000000,29.0400000000000)
   1181.00000000000      (-137.775900000000,28.5560000000000)
   1127.00000000000      (-124.000000000000,26.8800000000000)
   1078.00000000000      (-110.895900000000,25.6520000000000)
   1033.00000000000      (-98.4124000000000,25.2000000000000)
   1000.00000000000      (-89.9539000000000,25.8660000000000)
   991.900000000000      (-88.1832000000000,26.0026000000000)
   953.700000000000      (-77.9416000000000,26.3130000000000)
   950.000000000000      (-76.6343000000000,26.4624000000000)
   925.000000000000      (-68.9472000000000,30.0546000000000)
   918.400000000000      (-67.7740000000000,31.3968000000000)
   900.000000000000      (-64.6464000000000,34.1960000000000)
   885.600000000000      (-62.3865000000000,36.7808000000000)
   875.000000000000      (-61.2480000000000,38.9368000000000)
   855.100000000000      (-60.7477000000000,42.3636000000000)
   850.000000000000      (-60.7563000000000,42.9084000000000)
   826.600000000000      (-61.5485000000000,45.5388000000000)
   825.000000000000      (-61.4936000000000,45.7050000000000)
   799.900000000000      (-63.5625000000000,47.3200000000000)
   774.900000000000      (-67.0431000000000,45.2360000000000)
   751.400000000000      (-68.4963000000000,41.5484000000000)
   750.000000000000      (-68.5444000000000,41.3760000000000)
   729.300000000000      (-68.8653000000000,36.6796000000000)
   708.500000000000      (-66.7440000000000,32.0498000000000)
   700.000000000000      (-65.7072000000000,30.4146000000000)
   688.800000000000      (-64.3765000000000,28.5708000000000)
   670.200000000000      (-61.6001000000000,25.6320000000000)
   652.600000000000      (-58.9323000000000,23.3036000000000)
   650.000000000000      (-58.5232000000000,22.9026000000000)
   635.800000000000      (-56.5904000000000,21.2670000000000)
   619.900000000000      (-54.2604000000000,19.4480000000000)
   604.800000000000      (-51.9477000000000,17.8364000000000)
   600.000000000000      (-51.2676000000000,17.4240000000000)
   590.400000000000      (-49.8000000000000,16.4450000000000)
   576.700000000000      (-47.8336000000000,15.1200000000000)
   563.600000000000      (-45.8821000000000,13.9740000000000)
   551.000000000000      (-43.9626310000000,12.9042000000000)
   550.000000000000      (-43.8383360000000,12.8180400000000)
   539.100000000000      (-42.0707560000000,11.9472000000000)
   527.600000000000      (-40.4647110000000,11.1322800000000)
   516.600000000000      (-38.7561240000000,10.3745600000000)
   506.100000000000      (-37.1999790000000,9.70470000000000)
   500.000000000000      (-36.3750390000000,9.35104000000000)
   495.900000000000      (-35.7908750000000,9.10530000000000)
   476.900000000000      (-33.1569750000000,8.06200000000000)
   459.200000000000      (-30.7216640000000,7.18704000000000)
   450.000000000000      (-29.5389760000000,6.76092000000000)
   442.800000000000      (-28.5867960000000,6.43448000000000)
   427.500000000000      (-26.7286360000000,5.80320000000000)
   413.300000000000      (-24.9268710000000,5.25092000000000)
   400.000000000000      (-23.3795000000000,4.76280000000000)
   387.500000000000      (-21.9725000000000,4.33320000000000)
   375.700000000000      (-20.6069760000000,3.93984000000000)
   364.700000000000      (-19.4592510000000,3.60602000000000)
   354.200000000000      (-18.3417750000000,3.31100000000000)
   350.000000000000      (-17.8369750000000,3.18000000000000)
   344.400000000000      (-17.2564040000000,3.03576000000000)
   335.100000000000      (-16.3652640000000,2.79328000000000)
   326.300000000000      (-15.4962240000000,2.57540000000000)
   317.900000000000      (-14.6495000000000,2.38080000000000)
   310.000000000000      (-13.9011640000000,2.19912000000000)
   300.000000000000      (-12.9559240000000,1.99272000000000)
   291.700000000000      (-12.2519790000000,1.83222000000000)
   275.500000000000      (-10.8357110000000,1.53780000000000)
   261.000000000000      (-9.62841900000000,1.29998000000000)
   248.000000000000      (-8.60750000000000,1.11720000000000)
   236.200000000000      (-7.75451600000000,0.959760000000000)
   225.400000000000      (-6.94557500000000,0.818400000000000)
   215.600000000000      (-6.28021900000000,0.707820000000000)
   206.600000000000      (-5.69520000000000,0.621400000000000)
