  1910. (-193.017970230760,7.92628294752615)      #from ordalc
  1823. (-131.7171,16.79)
  1771. (-124.955584,15.5904)
  1722. (-118.367775,14.497)
  1675. (-111.955504,13.4832)
  1631. (-105.719119,12.5454)
  1590. (-101.670111,11.7766)
  1550. (-95.923619,10.96758)
  1512. (-91.488031,10.28892)
  1476. (-87.344375,9.6408)
  1442. (-83.479451,9.0219)
  1409. (-80.057871,8.47616)
  1378. (-76.706784,7.96316)
  1384. (-73.598004,7.49048)
  1319. (-70.720839,7.05596)
  1291. (-67.900091,6.6495)
  1265. (-65.296779,6.29402)
  1240. (-76.774516,6.52488)
  1127. (-62.787556,4.94832)
  1033. (-49.910916,3.84608)
  953.7 (-41.805204,3.05384)
  885.6 (-34.5303,2.4696)
  826.6 (-29.016756,2.02664)
  774.9 (-23.589324,1.69128)
  729.3 (-18.895604,1.4268)
  688.8 (-14.4144,1.216)
  652.6 (-9.894944,1.0458)
  563.6 (-8.200764,1.76256)
  539.1 (-6.289996,2.04216)
  516.6 (-4.124736,2.57792)
  495.9 (-2.546544,3.37088)
  476.9 (-1.683052,4.461264)
  459.2 (-1.37424,5.264792)
  442.8 (-1.185372,5.948096)
  427.5 (-1.152144,6.27008)
  413.3 (-1.157268,6.406576)
  400. (-1.076972,6.486096)
  387.5 (-0.94582,6.481728)
  375.7 (-0.75642,6.465152)
  364.7 (-0.522388,6.390384)
  354.2 (-0.387504,6.43104)
  344.4 (-0.28896,6.520072)
  335.1 (-0.226796,6.68856)
  326.3 (-0.199908,6.850944)
  317.9 (-0.239616,7.00672)
  310. (-0.322156,7.01256)
  302.4 (-0.403056,6.95808)
  295.2 (-0.524548,6.812736)
  288.3 (-0.575436,6.6196)
  281.8 (-0.685824,6.36116)
  275.5 (-0.714,6.104192)
  269.5 (-0.76608,5.823112)
  263.8 (-0.79254,5.516128)
  258.3 (-0.793488,5.257984)
  253. (-0.663104,5.06004)
  248. (-0.47424,4.855648)
  243.1 (-0.343616,4.70004)
  238.4 (-0.2416,4.557)
  233.9 (-0.142656,4.41524)
  229.6 (-0.070368,4.298024)
  225.4 (0.02894,4.187568)
  221.4 (0.06864,4.089512)
  217.5 (0.1413,3.991888)
  213.8 (0.190128,3.906496)
  210.1 (0.265344,3.81524)
  206.6 (0.316448,3.714264)
