    1.358349742759395     (-0.1686752000000000,3.364900000000000)
    1.305768457339845     (-0.1376961000000000,3.504600000000000)
    1.279962654409653     (-8.0099940000000008E-02,3.564000000000000)
    1.253699563866183     (-1.8850923000000002E-02,3.626100000000000)
    1.227561045676530     (5.9883832999999997E-02,3.704400000000000)
    1.201597764487739     (0.2023159000000000,3.734640000000000)
    1.175428690815074     (0.3603810000000000,3.775420000000000)
    1.149150453109086     (0.5909758000000001,3.719520000000000)
    1.123241753936957     (0.8399037000000000,3.574760000000000)
    1.096987020448669     (1.140961000000000,3.281040000000000)
    1.083770337677261     (1.332420000000000,3.019648000000000)
    1.070868350265075     (1.460092000000000,2.638944000000000)
    1.057924055261027     (1.463868000000000,2.193824000000000)
    1.044614661408686     (1.331720000000000,1.711962000000000)
    1.039584497662636     (1.209120000000000,1.460312000000000)
    1.031636154709984     (1.028601000000000,1.240920000000000)
    1.026404377007652     (0.8257400000000000,1.073232000000000)
    1.018655558747486     (0.6146079000000000,0.9394560000000000)
    1.013554360032384     (0.3875490000000000,0.8573800000000000)
    1.005684886788018     (0.1820391000000000,0.8000400000000000)
    1.000403489070539     (8.5749625999999995E-03,0.7502880000000000)
   0.9924321642161343     (-0.1628930000000000,0.6974760000000000)
   0.9795239090125617     (-0.5233280000000000,0.6032459999999999)
   0.9742195293933300     (-0.7105629999999999,0.5790840000000000)
   0.9663699041550234     (-0.8857599000000000,0.5797680000000000)
   0.9532838003708443     (-1.187319000000000,0.5801600000000000)
   0.9402747381891307     (-1.480956000000000,0.5902400000000000)
   0.9142592254054477     (-2.029919000000000,0.6019201000000000)
   0.8879368520017760     (-2.557504000000000,0.5989200000000000)
   0.8619393591183306     (-2.748900000000000,0.6680000000000000)
   0.8356919380533284     (-3.239236000000000,0.6950400000000000)
   0.8095764017654279     (-3.772571000000000,0.6747000000000000)
   0.7835243268653208     (-4.422170000000000,0.7300599000000000)
   0.7574983677626597     (-5.082000000000000,0.7232000000000000)
   0.7313245932464547     (-5.735351000000000,0.7536001000000000)
   0.7052059230628608     (-6.532864000000000,0.7372800000000000)
   0.6790324097046304     (-7.380976000000000,0.7180800000000001)
   0.6530158522890496     (-8.277500000000000,0.7488000000000000)
   0.6268496513541041     (-9.407999999999999,0.7982000000000000)
   0.6006873677887755     (-10.54586000000000,0.8385000000000000)
   0.5745752265545429     (-11.88810000000000,0.8280000000000000)
   0.5484933796453475     (-13.38096000000000,0.8857200000000000)
   0.5223916847300932     (-15.03724000000000,1.016560000000000)
   0.4962160821080672     (-17.20290000000000,1.162000000000000)
   0.4701373690945653     (-19.69400000000000,1.243200000000000)
   0.4440294063879240     (-22.44569000000000,1.403040000000000)
   0.4178997675694027     (-25.88765000000000,1.455740000000000)
   0.3917620328536732     (-30.22898000000000,1.595000000000000)
   0.3656624272022146     (-35.37593000000000,1.939700000000000)
   0.3395518529158288     (-41.30569000000000,2.546280000000000)
   0.3134856754851010     (-48.80902000000000,3.159480000000000)
   0.2873385390822909     (-58.76590000000000,3.850340000000000)
   0.2611536914679690     (-71.97186000000001,5.586420000000000)
   0.2559925569977279     (-60.38778000000000,5.835000000000000)
   0.2508370113081403     (-62.57971000000000,6.066720000000000)
   0.2481460134235199     (-79.97432999999999,6.408200000000000)
   0.2455122091353059     (-64.80994000000000,6.319040000000000)
   0.2402303674492701     (-67.24329000000000,6.584420000000000)
   0.2350004178527592     (-69.88798000000000,6.880140000000000)
   0.2298300645060197     (-69.87966000000000,7.047540000000000)
   0.2245704473636103     (-75.50423000000001,7.499400000000000)
   0.2193974302055313     (-78.65903000000000,7.849920000000000)
   0.2141736700530151     (-82.23936999999999,8.262800000000000)
   0.2089229583975347     (-86.64243000000000,8.742160000000000)
   0.2036670496983626     (-91.34967000000000,9.282900000000000)
   0.1985472304196809     (-96.57460000000000,9.859680000000001)
   0.1933316967433601     (-101.7406000000000,10.48380000000000)
   0.1880549215220287     (-107.8716000000000,11.16960000000000)
   0.1828518189652921     (-114.1797000000000,11.91980000000000)
   0.1776360763625917     (-122.8759000000000,12.83160000000000)
   0.1723419602517563     (-129.6000000000000,13.68000000000000)
   0.1671815047922488     (-138.8506000000000,14.72640000000000)
   0.1619152803530856     (-148.4175000000000,15.86000000000000)
